frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,lon,lat,ncells,case,domain,size_km2
34,5,5.886474332607972,12.483714510253888,154,0.3,1025,2024-09-28 14:50:00,2024-09-28 14:50:00,13.71241857255127,51.87943237166304,0.0,case2,DOM01,0.0
34,10,61.565403479556075,86.68022816652375,5,0.3,1027,2024-09-28 14:50:00,2024-09-28 14:50:00,14.083401140832619,52.15782701739778,0.0,case2,DOM01,0.0
34,11,74.13794209677984,96.67800341637641,111,0.3,1028,2024-09-28 14:50:00,2024-09-28 14:50:00,14.133390017081883,52.220689710483896,0.0,case2,DOM01,0.0
34,20,50.43464001145093,101.26015601889404,7,0.5,1031,2024-09-28 14:50:00,2024-09-28 14:50:00,14.156300780094469,52.10217320005725,44.0,case2,DOM01,8.298766071398582
34,22,71.71370303707124,151.998611586674,12,0.5,1032,2024-09-28 14:50:00,2024-09-28 14:50:00,14.40999305793337,52.208568515185355,68.0,case2,DOM01,12.8253657467069
34,24,104.83089249220058,109.35622791829466,244,0.5,1034,2024-09-28 14:50:00,2024-09-28 14:50:00,14.196781139591474,52.374154462461,339.0,case2,DOM01,63.93822041372999
34,27,119.72533053421556,167.4261821058616,58,0.5,1035,2024-09-28 14:50:00,2024-09-28 14:50:00,14.487130910529308,52.44862665267108,170.0,case2,DOM01,32.06341436676725
34,28,124.4768594687704,136.4712208661516,9,0.5,1036,2024-09-28 14:50:00,2024-09-28 14:50:00,14.332356104330758,52.47238429734385,44.0,case2,DOM01,8.298766071398582
34,29,128.59734315528348,90.17074889015906,33,0.5,1037,2024-09-28 14:50:00,2024-09-28 14:50:00,14.100853744450795,52.49298671577642,57.0,case2,DOM01,10.750674228857255
34,32,13.64551241032475,114.8416403844242,236,0.7,1038,2024-09-28 14:50:00,2024-09-28 14:50:00,14.22420820192212,51.91822756205163,714.0,case2,DOM01,134.66634034042247
34,33,15.742814542408635,91.47313267682837,68,0.7,1039,2024-09-28 14:50:00,2024-09-28 14:50:00,14.107365663384142,51.92871407271204,452.0,case2,DOM01,85.25096055163999
34,34,38.017398118909455,126.28686627095516,156,0.7,1040,2024-09-28 14:50:00,2024-09-28 14:50:00,14.281434331354776,52.040086990594546,1974.0,case2,DOM01,372.3128232941092
34,44,85.9879941362607,13.7788122759122,23,0.7,1044,2024-09-28 14:50:00,2024-09-28 14:50:00,13.718894061379562,52.279939970681305,248.0,case2,DOM01,46.77486331151929
