frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,lon,lat,ncells,case,domain,size_km2
0,4,0.0,49.63640041860495,9,0.3,1,2024-09-28 12:00:00,2024-09-28 12:00:00,13.898182002093025,51.85,0.0,case2,DOM01,0.0
0,8,9.652313099738642,68.98646150051465,12,0.3,2,2024-09-28 12:00:00,2024-09-28 12:00:00,13.994932307502573,51.89826156549869,0.0,case2,DOM01,0.0
0,9,12.91036285028439,35.82786082313389,13,0.3,3,2024-09-28 12:00:00,2024-09-28 12:00:00,13.82913930411567,51.91455181425142,0.0,case2,DOM01,0.0
0,10,17.75516649709902,175.65048230538676,11,0.3,4,2024-09-28 12:00:00,2024-09-28 12:00:00,14.528252411526934,51.9387758324855,0.0,case2,DOM01,0.0
0,11,22.56324747996642,2.3520508647586915,53,0.3,5,2024-09-28 12:00:00,2024-09-28 12:00:00,13.661760254323793,51.962816237399835,5.0,case2,DOM01,0.9430415990225662
0,17,98.32145798605315,34.85821395449991,40,0.3,6,2024-09-28 12:00:00,2024-09-28 12:00:00,13.8242910697725,52.341607289930266,0.0,case2,DOM01,0.0
0,19,112.90661007274782,48.63014633811004,142,0.3,7,2024-09-28 12:00:00,2024-09-28 12:00:00,13.89315073169055,52.41453305036374,0.0,case2,DOM01,0.0
0,21,115.75127307589601,118.17244408318918,30,0.3,8,2024-09-28 12:00:00,2024-09-28 12:00:00,14.240862220415947,52.42875636537948,0.0,case2,DOM01,0.0
0,22,118.60438863386962,126.88093476101169,19,0.3,9,2024-09-28 12:00:00,2024-09-28 12:00:00,14.284404673805058,52.44302194316935,0.0,case2,DOM01,0.0
0,23,119.11924270792828,138.38382516559864,10,0.3,10,2024-09-28 12:00:00,2024-09-28 12:00:00,14.341919125827994,52.445596213539645,0.0,case2,DOM01,0.0
0,24,123.65021909211222,165.22650094544053,77,0.3,11,2024-09-28 12:00:00,2024-09-28 12:00:00,14.476132504727202,52.46825109546056,0.0,case2,DOM01,0.0
